sample_id,speaker,utt_id,target_word,epsilon,steps,duration_sec,original_rms,perturbation_linf,perturbation_rms,snr_db,perturbation_spectral_centroid_hz,perturbation_spectral_rolloff85_hz,mean_absolute_log_spectral_change_db,p95_absolute_log_spectral_change_db,energy_fraction_0-0.5k,energy_fraction_0.5-2k,energy_fraction_2-4k,energy_fraction_4-8k
M05||test||13||race,M05,13,race,0.0002,3,2.775,0.3621637245771303,0.0002000033855438,0.0001282740937739,69.01531985492299,4471.672394204308,7296.875,0.8125167912320447,2.666850952536379,0.0440945759139925,0.1909081907921163,0.1866652539513132,0.5714161433679706
M05||test||140||pretty,M05,140,pretty,0.0002,3,3.485,0.0701381413390477,0.0002000033855438,0.0001122215887981,55.91755679752904,4578.818115102026,7265.625,2.452510935855442,12.579663944288663,0.0254986707185909,0.1723268313887588,0.2105591425485961,0.5865618081039632
M05||test||142||pitting,M05,142,pitting,0.0002,3,2.19,0.0372725685968567,0.0002000033855438,0.0001050235408887,51.00205332356568,4845.489323664216,7437.5,2.2424482948445283,12.10279745574614,0.034146127810109,0.1743798845214614,0.1497208493172996,0.6378709059023366
M05||test||143||pitting,M05,143,pitting,0.0002,3,3.56,0.0288334991372337,0.0002000033855438,0.0001127015297913,48.15935077980173,4194.171181584128,7171.875,2.591909633678467,12.836773758682222,0.0372057110229392,0.2326870382620448,0.214217673868291,0.5101278731673735
M05||test||144||top,M05,144,top,0.0002,3,2.52,0.0263834681901316,0.0002000033855438,0.0001183067734559,46.96644548401203,4723.271417334374,7406.25,3.2356390344936137,16.37296651433605,0.0276427652939951,0.1795275178249955,0.185017050337219,0.6037898283977091
M05||test||148||fill,M05,148,fill,0.0002,3,2.875,0.0523284112113505,0.0002000033855438,0.0001108772255209,53.477903977712415,4743.404160677906,7296.875,2.5660935963089595,13.443533265238852,0.02809517350208,0.1658615646515355,0.1761120552705156,0.6251234795017078
M05||test||149||six,M05,149,six,0.0002,3,2.745,0.0405591781981764,0.0002000033855438,0.000111830196938,51.19060114233163,4073.0170119528634,7062.5,2.2938633216458566,10.908432141611904,0.0417554897638715,0.2224946897560267,0.2350830167388022,0.4952245414476691
M05||test||14||suit,M05,14,suit,0.0002,3,2.9850625,0.028040641025782,0.0002000033855438,0.0001153338488314,47.71662304863631,4288.0871417919525,7187.5,2.7274172036249653,13.494898430005415,0.0315159872097606,0.2131177108035445,0.2212043026826172,0.5292526303899449
M05||test||153||hill,M05,153,hill,0.0002,3,2.17,0.0842233307904444,0.0002000033855438,0.0001149279805444,57.300132739032,4514.92299412279,7203.125,2.437198628221484,12.39662094356514,0.0299949487018326,0.1646428656914417,0.2248069620362862,0.57544040575289
M05||test||154||shy,M05,154,shy,0.0002,3,2.655,0.0258903265651907,0.0002000033855438,0.0001132561689466,47.18151323000644,4642.976694003879,7359.375,2.7148039380455677,13.770894784658925,0.032289553994967,0.1664094946939875,0.2046426789449927,0.5918224291395049
M05||test||159||bitten,M05,159,bitten,0.0002,3,3.655,0.070771823862481,0.0002000033855438,0.0001151535532497,55.771660891911495,4632.186820726265,7281.25,2.848969165210487,14.080097807179008,0.0251920713257506,0.1742221245513156,0.2019687742768772,0.5942174263207152
M05||test||164||leak,M05,164,leak,0.0002,3,3.575,0.0238971016104299,0.0002000033855438,0.0001131481488365,46.49395554272248,4205.173971220407,7125.0,2.6933592551207206,13.130936597353656,0.0334112932511889,0.2209548093589199,0.2244626290873608,0.5163317994285042
M05||test||167||spit,M05,167,spit,0.0002,3,3.015,0.0293279157852336,0.0002000033855438,0.0001132628067391,48.26387761948694,4249.243449221969,7171.875,2.394374874897414,11.75188873999375,0.0387739885598134,0.2210129407800381,0.2082393463136445,0.5265006240277883
M05||test||168||mush,M05,168,mush,0.0002,3,3.5100625,0.063894685036862,0.0002000033855438,0.0001113183757164,55.177957457838495,4604.948171052576,7281.25,2.278388054757153,11.913989087473894,0.0442178557547304,0.1752847533901896,0.1754625755290784,0.5999569103197109
M05||test||16||whoop,M05,16,whoop,0.0002,3,2.36,0.0955164195811964,0.0002000033855438,0.0001126511546298,58.56684774393642,4715.336130665076,7265.625,2.648037331946917,13.61737707687102,0.0226252824994118,0.1248274038137995,0.2392576930000036,0.6088148285370482
M05||test||171||brawn,M05,171,brawn,0.0002,3,4.3,0.0656072223348253,0.0002000033855438,0.0001146798512367,55.1492906033911,4473.237950875115,7187.5,2.391727326502429,11.87256025366385,0.0298641311937878,0.1770442791048455,0.2216933141770199,0.5658811167703149
M05||test||172||much,M05,172,much,0.0002,3,3.055,0.0387008121717398,0.0002000033855438,0.000116408139769,50.43473460047306,4115.751047589134,7093.75,2.5671759047564557,12.04317396872795,0.033819969749657,0.2284496111868709,0.239003503312614,0.492318897410821
M05||test||174||knitting,M05,174,knitting,0.0002,3,3.955,0.033615932275321,0.0002000033855438,0.0001155819751569,49.27310096685424,4298.194050061182,7187.5,2.769111084035332,13.52821623071015,0.0331837574611428,0.207121971448994,0.2255755224804317,0.5294857268196951
M05||test||175||kitten,M05,175,kitten,0.0002,3,2.865,0.0429516723486955,0.0002000033855438,0.0001129368159634,51.60289077066402,4304.4377813495685,7109.375,2.5210382848393023,12.079586713659108,0.0318635199540792,0.1983892473535859,0.2256392265152489,0.5386189878373444
M05||test||178||witch,M05,178,witch,0.0002,3,2.91,0.0565666526477552,0.0002000033855438,0.0001136874310462,53.93696053935426,4600.848270173698,7250.0,2.6350900121518936,13.427851181921111,0.030728662031983,0.1754748027501052,0.1960027887683092,0.5932914883834018
M05||test||17||prior,M05,17,prior,0.0002,3,3.12,0.0808826742737461,0.0002000033855438,0.0001149139240225,56.94965694393268,5023.657082068856,7312.5,2.400847990511379,12.802310392095317,0.0221654404651672,0.1114671956997925,0.189255421933753,0.6732956720146756
M05||test||180||oscar,M05,180,oscar,0.0002,3,3.56,0.0629443313659635,0.0002000033855438,0.0001067744026541,55.4097894819665,4900.270786115095,7328.125,2.3487341161429,12.51280607577807,0.0337141028466141,0.1456633239669932,0.1577984802385976,0.6583707625092061
M05||test||181||tell,M05,181,tell,0.0002,3,2.495,0.0389256905063216,0.0002000033855438,0.0001222662723337,50.05859307404676,5010.317068597024,7437.5,2.5295658945357644,12.48283078624072,0.0225271941738747,0.1353984215956951,0.1717466311988582,0.6664958403540392
M05||test||185||hum,M05,185,hum,0.0002,3,2.83,0.0444279904904283,0.0002000033855438,0.0001076830209372,52.31018878995449,4858.89517623679,7375.0,2.7651857383035794,14.153247692270684,0.0268115695005795,0.1576748480442492,0.1713145238456594,0.6397996672970838
M05||test||187||lima,M05,187,lima,0.0002,3,4.37,0.0689037954375422,0.0002000033855438,0.0001235156290572,54.93042460642366,4640.422794737012,7312.5,2.6721467322513117,13.449772300558529,0.0245667411752893,0.1642247436244505,0.2196571827447029,0.5870838052177907
M05||test||188||rich,M05,188,rich,0.0002,3,3.61,0.0705610780097615,0.0002000033855438,0.0001116238790176,56.01616193339649,4527.925094778174,7234.375,2.575729203122659,13.011090996617307,0.0303085355677517,0.1823712940486989,0.2034106271060466,0.5789873006782
M05||test||18||chair,M05,18,chair,0.0002,3,2.86,0.1765164730661864,0.0002000033855438,0.0001507043837275,61.37318711919615,4186.095572680586,7078.125,1.0622978600304915,4.107229621191097,0.0268047362782534,0.2018722001430382,0.266093051946761,0.4997000500635821
M05||test||18||prior,M05,18,prior,0.0002,3,3.71,0.0739505768577053,0.0002000033855438,0.0001087159676019,56.65296461093181,5112.647056327687,7390.625,2.3915057214033864,12.952147459563989,0.0240688212422073,0.1207351664322927,0.1558822646897608,0.695454439487285
M05||test||190||juliet,M05,190,juliet,0.0002,3,4.81,0.0796567637917047,0.0002000033855438,0.0001168405483638,56.67258143644196,4635.028597064379,7328.125,2.4934862158107087,13.1674893395915,0.0260438492345339,0.1658699447857865,0.2172725506736331,0.5863936293333064
M05||test||191||cart,M05,191,cart,0.0002,3,3.445,0.043630315379611,0.0002000033855438,0.0001156627858743,51.5318940737463,4700.027380552933,7328.125,2.797861621687434,14.179578813630876,0.0282200563761121,0.1863584539757911,0.1722510947207497,0.6085871674280179
M05||test||194||mike,M05,194,mike,0.0002,3,2.725,0.0716188531162475,0.0002000033855438,0.0001060957532191,56.586587233463696,4601.613890527357,7265.625,2.484940639040933,12.47502838044548,0.0299493586421638,0.1833653056512107,0.183495219917884,0.5983255037135246
M05||test||196||witty,M05,196,witty,0.0002,3,3.65,0.0684963367062462,0.0002000033855438,0.0001148093526691,55.51380154171411,4340.200108630823,7218.75,2.732652505788244,13.15187122360732,0.0275832076955773,0.2003652382128018,0.2352051324793627,0.5315346647227459
M05||test||198||dart,M05,198,dart,0.0002,3,3.875,0.058806857032427,0.0002000033855438,0.0001131068005726,54.31878502255215,4293.29787076385,7156.25,2.9238195784594363,13.858616920121232,0.0247058920142117,0.201997642767307,0.238392027154846,0.5284772463794292
M05||test||199||mitten,M05,199,mitten,0.0002,3,5.655,0.0445649358942605,0.0002000033855438,0.0001106919439084,52.0975454358513,4182.573202988524,7078.125,2.745758764408214,12.97201554847905,0.0311774581272731,0.2114931627825126,0.244206091301325,0.5073842812623247
M05||test||202||sign,M05,202,sign,0.0002,3,2.16,0.0733594394472264,0.0002000033855438,0.0001073581321448,56.692421145431446,4435.926613290671,7187.5,2.060843607790939,10.990067717557682,0.0353611960548965,0.200567641466554,0.1912245631386834,0.5679432509185538
M05||test||205||spark,M05,205,spark,0.0002,3,3.205,0.0446853124815686,0.0002000033855438,0.0001064728534648,52.45851811981967,4379.434104540758,7234.375,2.3409285712785284,11.89847931367838,0.0283861728032987,0.1975736212791567,0.2261080636326138,0.542888899913535
M05||test||206||heart,M05,206,heart,0.0002,3,1.79,0.0996501420131566,0.0002000033855438,0.0001195585600638,58.41794492205972,4524.787293786042,7140.625,2.3507680507931044,11.680049655627563,0.0252586846920924,0.1768706375787742,0.2025020968269834,0.5906469814177737
M05||test||217||thorn,M05,217,thorn,0.0002,3,3.49,0.0591375006769274,0.0002000033855438,0.0001174711100246,54.03863786918204,4659.893498390771,7328.125,2.440538385940133,12.788161607030696,0.0283568687947347,0.1695185965876517,0.1990164273238334,0.5982971098245058
M05||test||21||knot,M05,21,knot,0.0002,3,2.545,0.0321590109481444,0.0002000033855438,0.0001130939361841,49.07726727552941,4709.689695663945,7359.375,2.89342784502173,14.61352089343348,0.0233811925610519,0.1495915365540205,0.2275269684239542,0.5951049580061551
M05||test||21||sip,M05,21,sip,0.0002,3,2.61,0.2114145756198024,0.0002000033855438,0.0001142720235144,65.34390015641576,4147.11826150767,7078.125,0.7911120092751098,2.5631580931356006,0.0444352392480152,0.1963164135228989,0.2506109038295437,0.5033485684535468
M05||test||225||lair,M05,225,lair,0.0002,3,3.01,0.0484904201334805,0.0002000033855438,0.0001193407236307,52.177345601602255,4590.136618518147,7218.75,2.5163249197683912,12.163234182042936,0.0263505516631301,0.1796609785257795,0.1856071710494318,0.6038874011260351
M05||test||226||eight,M05,226,eight,0.0002,3,2.295,0.0503472838503411,0.0002000033855438,0.0001178030321605,52.61639154147908,4197.548411411416,7125.0,2.975471267920433,14.068511752639203,0.0325787294260552,0.2359876912193308,0.2009943867865259,0.5246828405921854
M05||test||227||park,M05,227,park,0.0002,3,2.405,0.0569507914866235,0.0002000033855438,0.0001147438288363,53.915408531882,4414.886332194563,7140.625,2.3516517498820013,11.774372742915933,0.031769282308669,0.18891873335867,0.2063393281694342,0.5680588541080598
M05||test||228||seven,M05,228,seven,0.0002,3,2.78,0.0588093528418645,0.0002000033855438,0.0001161535018029,54.08828185666928,4024.788372922555,7031.25,2.442696858314799,11.808943532503816,0.0406700330234095,0.247137442127835,0.2178622795856677,0.4888200818794477
M05||test||229||seed,M05,229,seed,0.0002,3,2.59,0.0311274005652295,0.0002000033855438,0.0001190553484139,48.34787888291349,3962.7398528521226,7046.875,2.430127838641211,11.467241427080555,0.0371630236074854,0.2538725435166611,0.2315099489168521,0.4714867080963971
M05||test||22||coupe,M05,22,coupe,0.0002,3,2.425,0.0104544288231981,0.0002000033855438,0.0001098994757685,39.56609378720536,4538.164819804683,7296.875,2.601565768849225,13.809241660355354,0.0281041657066219,0.1680952345032361,0.2356656424909036,0.5638603301412167
M05||test||22||storm,M05,22,storm,0.0002,3,3.4800625,0.2811688698883859,0.0002000033855438,0.0001390950192304,66.11311312883208,4327.148754262948,7093.75,0.9306787358901958,3.376527115595074,0.0318403837408088,0.1713018932911533,0.2655889461432103,0.5261896720791552
M05||test||230||written,M05,230,written,0.0002,3,3.0,0.0468939385394209,0.0002000033855438,0.0001085528980212,52.70950575314258,4323.686034658658,7125.0,2.520527816559342,12.407309531697614,0.0279020738298222,0.1839402088148989,0.2512813405732285,0.5316948100142961
M05||test||231||bloat,M05,231,bloat,0.0002,3,3.21,0.0411166419450253,0.0002000033855438,0.000116187451098,50.97716827314854,4425.100851979277,7203.125,2.8513860145910583,13.7851914382364,0.0275940446411315,0.168403651880324,0.258061994140973,0.5410165355291737
M05||test||232||barn,M05,232,barn,0.0002,3,2.78,0.0548561156914785,0.0002000033855438,0.0001072213706658,54.178873953012754,4625.466250989037,7265.625,2.630715444178823,13.257508111651443,0.0265010635810908,0.1577037164286843,0.2220343975955036,0.5893329689892342
M05||test||234||harp,M05,234,harp,0.0002,3,2.715,0.0679575099095027,0.0002000033855438,0.0001141154846357,55.49785756253382,4665.492440990111,7281.25,2.633465968827784,13.565848957012404,0.0268201281113712,0.1655194818075867,0.2002323720476259,0.6023387668049481
M05||test||235||quebec,M05,235,quebec,0.0002,3,3.205,0.0451765470317584,0.0002000033855438,0.0001148530544508,51.895409680599016,4264.503604365594,7125.0,2.573152371874918,12.316832706549846,0.0378213193103306,0.2000148259318198,0.2266841871393532,0.5301835712992742
M05||test||237||sigh,M05,237,sigh,0.0002,3,3.825,0.0387636465697836,0.0002000033855438,0.0001139354975346,50.63531144105285,4635.481710792236,7328.125,2.5326334724114328,13.604697108352257,0.0353942598320854,0.1777071295829628,0.1852382897569491,0.5966859377547128
M05||test||23||rocks,M05,23,rocks,0.0002,3,2.655,0.0825864050870841,0.0002000033855438,0.0001253011710431,56.37906864432857,4895.073256747405,7312.5,2.363513256966576,12.90257452776028,0.0299465531930151,0.1411322776424658,0.1781918987939848,0.6468799524392358
M05||test||244||part,M05,244,part,0.0002,3,2.73,0.0673762404022604,0.0002000033855438,0.0001204147949419,54.95653846463955,4490.383238862264,7187.5,2.815485959862731,13.424263484327396,0.0253734941233204,0.1810823827449256,0.2169482259834746,0.5714128244652673
M05||test||245||zero,M05,245,zero,0.0002,3,3.24,0.0673066378844515,0.0002000033855438,0.0001154525130246,55.313090131948485,4149.228409831968,7093.75,2.059304303553633,10.024101612958903,0.0301827660217889,0.229263848622699,0.2286745178378451,0.5055956429223947
M05||test||24||air,M05,24,air,0.0002,3,2.905,0.0515050280522351,0.0002000033855438,0.000115572919049,52.979870911303536,4737.701084662407,7234.375,2.600381231399545,12.815420332683647,0.0234724702259397,0.1508882459188379,0.1970717422029465,0.6238154922439844
M05||test||24||dagger,M05,24,dagger,0.0002,3,3.0750625,0.2553557198648163,0.0002000033855438,0.0001484954555835,64.70864854415834,4556.589491554256,7140.625,1.0349337285819264,3.866880612363773,0.0276008131348798,0.1594644509781405,0.2202876390078097,0.5876665747706549
M05||test||251||brought,M05,251,brought,0.0002,3,3.11,0.0600805695443788,0.0002000033855438,0.000102275109777,55.37928173332453,4334.788368200176,7140.625,2.510340701567672,12.282980343211555,0.0313343469066784,0.1845481102998641,0.2382948922893027,0.5399253489681147
M05||test||253||league,M05,253,league,0.0002,3,3.055,0.045219101007209,0.0002000033855438,0.000115394634776,51.8627261402223,4482.921502477037,7250.0,2.759566685569118,13.896304133870078,0.0276005095206743,0.1974159936738939,0.20031066079628,0.5696099308970131
