experiment,split,budget,wrong_inputs,repaired_inputs,repair_rate,repair_ci_low,repair_ci_high,baseline_correct,total_inputs,baseline_accuracy,assisted_accuracy,mean_queries_all_failures,median_queries_all_failures,mean_queries_successes,median_queries_successes
30-word,dev,10,36,11,0.3055555555555556,0.16666666666666666,0.4722222222222222,29,65,0.4461538461538462,0.6153846153846154,7.527777777777778,10.0,1.9090909090909092,2.0
30-word,dev,14,36,11,0.3055555555555556,0.16666666666666666,0.4444444444444444,29,65,0.4461538461538462,0.6153846153846154,10.305555555555555,14.0,1.9090909090909092,2.0
30-word,test,1,221,17,0.07692307692307693,0.04524886877828054,0.11312217194570136,194,415,0.4674698795180723,0.5084337349397591,1.0,1.0,1.0,1.0
30-word,test,3,221,34,0.15384615384615385,0.1085972850678733,0.20361990950226244,194,415,0.4674698795180723,0.5493975903614458,2.7828054298642533,3.0,1.588235294117647,1.5
30-word,test,5,221,53,0.2398190045248869,0.18552036199095023,0.29411764705882354,194,415,0.4674698795180723,0.5951807228915663,4.420814479638009,5.0,2.5849056603773586,2.0
30-word,test,10,221,68,0.3076923076923077,0.248868778280543,0.37104072398190047,194,415,0.4674698795180723,0.6313253012048192,8.054298642533936,10.0,3.676470588235294,3.5
30-word,test,14,221,71,0.3212669683257919,0.26244343891402716,0.38461538461538464,194,415,0.4674698795180723,0.6385542168674698,10.81447963800905,14.0,4.084507042253521,4.0
50-word,dev,1,52,7,0.1346153846153846,0.057692307692307696,0.23076923076923078,38,90,0.4222222222222222,0.5,1.0,1.0,1.0,1.0
50-word,dev,3,52,12,0.23076923076923078,0.11538461538461539,0.34615384615384615,38,90,0.4222222222222222,0.5555555555555556,2.673076923076923,3.0,1.5833333333333333,1.0
50-word,dev,5,52,14,0.2692307692307692,0.15384615384615385,0.38461538461538464,38,90,0.4222222222222222,0.5777777777777777,4.1923076923076925,5.0,2.0,1.5
50-word,dev,10,52,14,0.2692307692307692,0.15384615384615385,0.38461538461538464,38,90,0.4222222222222222,0.5777777777777777,7.846153846153846,10.0,2.0,1.5
50-word,dev,14,52,14,0.2692307692307692,0.15384615384615385,0.40384615384615385,38,90,0.4222222222222222,0.5777777777777777,10.76923076923077,14.0,2.0,1.5
50-word,test,1,325,25,0.07692307692307693,0.04923076923076923,0.1076923076923077,245,570,0.4298245614035088,0.47368421052631576,1.0,1.0,1.0,1.0
50-word,test,3,325,63,0.19384615384615383,0.15076923076923077,0.23692307692307693,245,570,0.4298245614035088,0.5403508771929825,2.769230769230769,3.0,1.8095238095238095,2.0
50-word,test,5,325,74,0.2276923076923077,0.18153846153846154,0.27384615384615385,245,570,0.4298245614035088,0.5596491228070175,4.36,5.0,2.189189189189189,2.0
50-word,test,10,325,96,0.2953846153846154,0.24615384615384617,0.3446153846153846,245,570,0.4298245614035088,0.5982456140350877,8.052307692307693,10.0,3.40625,2.0
50-word,test,14,325,110,0.3384615384615385,0.28615384615384615,0.39076923076923076,245,570,0.4298245614035088,0.6228070175438597,10.815384615384616,14.0,4.590909090909091,3.0
100-word,dev,1,81,13,0.16049382716049382,0.08641975308641975,0.24691358024691357,63,144,0.4375,0.5277777777777778,1.0,1.0,1.0,1.0
100-word,dev,3,81,20,0.24691358024691357,0.16049382716049382,0.345679012345679,63,144,0.4375,0.5763888888888888,2.617283950617284,3.0,1.45,1.0
100-word,dev,5,81,22,0.2716049382716049,0.1728395061728395,0.37037037037037035,63,144,0.4375,0.5902777777777778,4.111111111111111,5.0,1.7272727272727273,1.0
100-word,dev,10,81,22,0.2716049382716049,0.1728395061728395,0.37037037037037035,63,144,0.4375,0.5902777777777778,7.753086419753086,10.0,1.7272727272727273,1.0
100-word,dev,14,81,22,0.2716049382716049,0.18518518518518517,0.37037037037037035,63,144,0.4375,0.5902777777777778,10.666666666666666,14.0,1.7272727272727273,1.0
100-word,test,1,533,51,0.09568480300187618,0.07129455909943715,0.12195121951219512,347,880,0.39431818181818185,0.45227272727272727,1.0,1.0,1.0,1.0
100-word,test,3,533,94,0.17636022514071295,0.14446529080675422,0.20825515947467166,347,880,0.39431818181818185,0.5011363636363636,2.7617260787992497,3.0,1.648936170212766,1.0
100-word,test,5,533,118,0.22138836772983114,0.18574108818011256,0.2570356472795497,347,880,0.39431818181818185,0.5284090909090909,4.393996247654784,5.0,2.26271186440678,2.0
