index,speaker,split,utt_id,target_word,epsilon,steps,duration_sec,original_rms,perturbation_linf,perturbation_rms,snr_db,perturbation_to_signal_rms_ratio,perturbation_spectral_centroid_hz,perturbation_spectral_rolloff85_hz,mean_absolute_log_spectral_change_db,p95_absolute_log_spectral_change_db,perturbation_energy_fraction_0-0.5 kHz,perturbation_energy_fraction_0.5-2 kHz,perturbation_energy_fraction_2-4 kHz,perturbation_energy_fraction_4-8 kHz
20,M02,test,195,floor,0.00018,2,2.5171875,0.05190067314529681,0.0001800060272216797,0.00012641201421544906,52.26769278629181,0.0024356526910846894,4581.173297745607,7328.125,3.256723488125269,11.393185343865127,0.027937978258215153,0.14376405712882098,0.2444332298915318,0.5764329756932202
21,M05,test,98,here,0.00012,3,3.135,0.03477252765707927,0.0001200009137392044,7.073237149944954e-05,53.832360839299305,0.002034145236636235,4408.2306931753865,7171.875,2.012075154969555,10.081965271771182,0.02972198115014464,0.20238114953471265,0.19976946560580056,0.560708727771286
22,F03,test,16,white,8e-05,2,1.73,0.0999406829230044,8.000433444976807e-05,5.160227107704246e-05,65.74146993823621,0.0005163289820302461,4583.184272382811,7375.0,0.6035568019589865,1.6057984797803495,0.026938028682308282,0.17036377269473607,0.23236419071085726,0.5616049716571828
23,F03,test,112,left,0.0001,2,1.102375,0.02341804825179831,0.00010000169277191162,6.665343503036091e-05,50.91456321039197,0.002846242108380765,5054.0363738400665,7546.875,1.0801363726101154,4.635870151598619,0.02488311241398482,0.10364133599824649,0.2175715277348076,0.6474258596454542
24,M02,test,72,left,0.00018,3,1.6405625,0.08734221408134331,0.0001800060272216797,0.0001080722458932124,58.15020040121429,0.0012373426415840897,4818.616213887311,7359.375,2.257736557857131,9.045709156527233,0.021212045655190824,0.12644109709778398,0.21305736570824596,0.6303137222806945
25,M02,test,10,farm,0.0001,3,2.125375,0.050963389168026764,0.00010000169277191162,6.1875217605669e-05,58.314831249078445,0.001214111122038329,4523.650438760994,7203.125,1.7414600836614764,6.723369512671679,0.023907811768834428,0.14156860750526623,0.2600242698988037,0.5664378218318014
26,F03,test,12,write,8e-05,2,1.735,0.025002175784578674,8.00006091594696e-05,5.9064447048870066e-05,52.53303323496085,0.0023623722814276418,4958.885395829394,7484.375,1.4635929676498864,8.110448731709466,0.022719627990420484,0.12401578778496035,0.214083025417303,0.6326664944669427
27,M05,test,114,we're,0.0001,2,3.86,0.06839546736570748,0.00010000169277191162,6.731158173559475e-05,60.1387505103341,0.0009841526687095032,4821.207869985401,7328.125,1.7115322323261521,8.895284143996248,0.030560684528003517,0.15483874181551388,0.16684422208882627,0.6405537809525416
28,F01,dev,50,beta,8e-05,3,1.9344375,0.03590500838576285,8.000433444976807e-05,5.01142944509149e-05,57.10386824204778,0.0013957466298987512,4987.858370506542,7484.375,2.056406755463517,10.449379221821909,0.01986180539384848,0.11911962916600334,0.22596548765337446,0.6279868783376833
29,M01,test,14,the,0.0002,3,1.832875,0.06665940352593082,0.00020000338554382324,0.00011357245433269086,55.37176824252064,0.001703772436075139,5129.03089010396,7468.75,1.9488170394639794,7.7448048931401345,0.022425271476495447,0.1153538666421954,0.16443594993335348,0.6896282377073958
30,M01,test,137,ate,8e-05,2,1.994875,0.04431165378629884,8.00006091594696e-05,5.527188805621678e-05,58.08027317711239,0.001247344283803437,4769.485526325713,7421.875,1.543815110089464,5.990787927560674,0.028365711589548648,0.14302242345236232,0.20665399745787957,0.6148157269146013
31,M01,test,41,urgent,0.0002,2,2.0316875,0.12628881377329576,0.00020000338554382324,0.00013932278881188372,59.14685449694524,0.0011032076765087491,5265.8474645524975,7468.75,2.061516520720958,8.655460191395845,0.02249623818490641,0.08234416267887398,0.1550977285028599,0.7313107313723788
32,M02,test,209,pile,0.00014,2,2.4663125,0.05095874870179118,0.00014001131057739258,9.885774713023887e-05,54.244160924136494,0.0019399563303398786,4690.107987453022,7265.625,3.2221656370439824,10.841145116474994,0.025037471843254857,0.12872427057835964,0.23093932608628498,0.6076084203042679
33,M05,test,392,glitter,0.0002,2,3.65,0.05366084802033384,0.00020000338554382324,0.00014132206101488128,51.58895138423006,0.0026336158713207393,4546.5440753368375,7250.0,2.738663829253413,13.839752344791501,0.028106826141410513,0.15913478687421068,0.24260144471459585,0.5625800695484017
34,M05,test,188,rich,0.0002,2,3.61,0.07056107800976154,0.00020000338554382324,0.00014048777033343488,54.01853374546321,0.0019910094105138184,4531.714231715213,7250.0,2.9236647239481357,14.356708034388404,0.029502321083002225,0.18386818524751197,0.20446790979358306,0.574940084769044
35,F03,test,146,sigh,0.00014,2,0.826375,0.019109854448570593,0.0001400001347064972,9.785764531070756e-05,45.81325235703035,0.005120794905794129,4542.232336296578,7359.375,1.4048957225773813,5.994893493985761,0.02975750162582491,0.1493732690422732,0.2608635677699147,0.551463388787314
36,F03,test,90,jagged,8e-05,2,1.28375,0.020950850004328985,8.00006091594696e-05,6.003407614052754e-05,50.85607631750814,0.002865472099133112,4764.544422882301,7437.5,1.0915851996026336,4.369349747362723,0.02100306462256624,0.09360074630115751,0.30688485797011,0.5712637685579672
37,M02,test,157,boot,8e-05,3,2.6951875,0.02644816759642545,8.000433444976807e-05,4.5144070923805064e-05,55.355897374103016,0.001706888417097993,4485.732484403201,7156.25,1.96030238480365,6.845998047745509,0.027673712629355474,0.14516897505146975,0.2507999082652733,0.5691865509423636
38,M04,test,105,corn,0.00014,3,2.86,0.11676216592787032,0.00014001131057739258,7.729220264190013e-05,63.58332917384823,0.0006619627344841075,4563.403200135692,7218.75,1.4864272363327875,7.072529943435663,0.023887512545378686,0.1371996619659319,0.2648465512314905,0.5672789388247974
39,F04,dev,190,barn,0.00014,3,2.54,0.26977179055340345,0.00014001131057739258,7.781295897784614e-05,70.79889208052764,0.0002884399396179359,4157.1652971366575,7062.5,0.6103481249081494,1.5984781091878406,0.030835285872066468,0.21585995745755682,0.25008396095881547,0.4967974172077855
40,F03,test,192,knew,0.00012,2,1.1959375,0.01939125586987907,0.0001200009137392044,8.655395141189828e-05,47.00638075265787,0.004463555738354457,4977.115981130215,7453.125,1.6680383504427783,6.31758068587191,0.021303252013496622,0.10075144634516646,0.2320656576079019,0.639646968305052
41,M02,test,119,two,8e-05,2,1.711625,0.042139757341055246,8.000433444976807e-05,5.531278608630687e-05,57.637329922754866,0.0013126033365269908,4298.27614224754,7140.625,1.8916931179656813,7.052183391167719,0.026808496352182343,0.18995255355101395,0.25354858559707,0.5228012941272145
42,M01,test,44,back,8e-05,2,1.3904375,0.06279270772852426,8.00006091594696e-05,5.7696494448081516e-05,60.735195681998384,0.0009188406828628011,5315.103905084892,7500.0,1.0282947134822584,4.323063049750997,0.021161886760512446,0.09234410809944683,0.1508136619226972,0.7286613470530515
43,M01,test,79,pat,0.00016,2,1.594625,0.1484785093233163,0.0001600012183189392,0.00011991969701929576,61.855461522711146,0.0008076569300555619,5257.046218906363,7453.125,1.6786771250333266,7.142001128397167,0.022560859195779114,0.09990529172888782,0.15453153705682532,0.7156455268779361
44,M05,test,296,up,0.00018,3,2.495,0.056598176164072374,0.0001800060272216797,0.00010341124162405187,54.76469367992767,0.0018271126144466768,4671.36114557044,7343.75,2.8346843422393753,14.627339910326594,0.02691713394617558,0.17590541407459967,0.19273509335022007,0.5966455330507544
45,M02,test,85,white,0.00012,2,2.42,0.16921007530950882,0.0001200009137392044,9.08131888352995e-05,65.40554585791412,0.0005366890161191024,4648.429611394933,7203.125,1.1687333913956885,5.091065105964631,0.020386496470454093,0.13376710247144025,0.25939715569214594,0.578839023691114
46,M05,test,228,seven,0.0002,3,2.78,0.05880935284186458,0.00020000338554382324,0.00011461203072717622,54.20432385516517,0.0019488742043355291,4228.666579258736,7078.125,2.4615434551948625,11.884594046880087,0.0315848650202018,0.21398107078680642,0.22322586089649507,0.5240537629944646
47,M05,test,309,zip,0.00018,3,2.81,0.03667354099383469,0.0001800060272216797,9.953411229415413e-05,51.327617951036295,0.0027140578628850466,4016.3284468978773,6906.25,2.4656098002669067,11.435857804468093,0.03152974472769516,0.20883418579014706,0.2760125875937638,0.4762406170834344
48,M05,test,294,sierra,8e-05,2,3.1,0.04884616605288367,8.000433444976807e-05,5.1663258331715215e-05,59.51297376900563,0.0010576727409021538,4435.476905707175,7125.0,1.2222968457701637,5.99171201825911,0.03562807999390893,0.17466126170225635,0.21379071572321753,0.5689988123528179
49,M01,test,12,sip,0.0001,3,1.646875,0.09640433200930577,0.00010000169277191162,4.900346793748497e-05,65.87739467853672,0.000508311887195637,4820.6682263281555,7453.125,0.7337998500819054,3.280624974993415,0.037167298880156456,0.15235233333061204,0.17373387677932445,0.6283537561319843
