sample_id,index,speaker,utt_id,target_word,mapped_correct,duration_sec,original_rms,perturbation_linf,perturbation_rms,snr_db,perturbation_spectral_centroid_hz,perturbation_spectral_rolloff85_hz,mean_absolute_log_spectral_change_db,p95_absolute_log_spectral_change_db,energy_fraction_0-0.5k,energy_fraction_0.5-2k,energy_fraction_2-4k,energy_fraction_4-8k
M02||115||kilo,500,M02,115,kilo,1,3.99,0.1751082516658271,0.0002000033855438,0.0001714331267582,60.18423731282898,3709.2434085042287,6390.625,1.5632234991523235,6.1446467671874325,0.0287476849978386,0.2186893138817568,0.3412208877987268,0.4048329029856573
M02||116||witty,501,M02,116,witty,0,2.8900625,0.2381643416175447,0.0002000033855438,0.000172011712047,62.82637440478992,4084.838768400487,7015.625,1.2297012975929964,4.916315059561438,0.0215303799063213,0.1982204405501833,0.2998275061950955,0.4750516611556765
M02||118||lima,502,M02,118,lima,0,3.14,0.2336930445007513,0.0002000033855438,0.0001733671258712,62.59358074229325,3472.672135928928,6015.625,1.4641602729350078,5.664140618655352,0.0273206302803054,0.2676791223680125,0.3398929295090357,0.3584735335041768
M02||120||papa,503,M02,120,papa,1,2.21,0.18522617592747,0.0002000033855438,0.0001638503094971,61.06510189135511,3822.7575455701913,6671.875,1.328528327699969,5.050138090952213,0.023267083463313,0.2285902735113167,0.3336955538725314,0.4084153707561302
M02||123||hem,504,M02,123,hem,1,2.78,0.2153887239639227,0.0002000033855438,0.0001756222568572,61.77286819097372,3611.165386588937,6312.5,1.3578459251329222,5.195098873260294,0.0294430979458414,0.2292144980339404,0.3649186154412671,0.3704290688512419
M02||124||loyal,505,M02,124,loyal,1,2.55,0.3231021079300401,0.0002000033855438,0.0001689506456917,65.63159870978468,3961.149905419023,6828.125,1.3729787455456577,5.147646330550713,0.0265144237229387,0.1946287833231781,0.3367624086759923,0.4363441397682129
M02||125||sign,506,M02,125,sign,1,2.695,0.1855593693523059,0.0002000033855438,0.00017468493152,60.524548877567774,3870.5750803164415,6812.5,1.423406971619013,5.644087770036308,0.023468409238418,0.1943929307308016,0.3676575703243273,0.4080990905750347
M02||126||written,507,M02,126,written,0,2.575,0.1913267952560991,0.0002000033855438,0.0001739577884955,60.82663838388928,3784.1088353484574,6406.25,1.4182568290928077,5.479593561954978,0.0260040841536472,0.188190199158103,0.3692327156699809,0.4092380898462496
M02||127||take,508,M02,127,take,1,1.865,0.1686672659393023,0.0002000033855438,0.0001676630004787,60.051871423732905,3959.1712186252607,6937.5,1.4538408711369295,5.95661782887503,0.0254957336047659,0.2060230550791612,0.315630177830386,0.4469451430527294
M02||129||reek,509,M02,129,reek,0,1.61,0.2083108211800199,0.0002000033855438,0.0001692565027138,61.803329359768895,3878.978694194988,6468.75,1.4391156157738934,5.613487868537765,0.0238654499319449,0.1912991028688142,0.3117129345420072,0.4655871152105286
M02||130||seed,510,M02,130,seed,0,2.69,0.1927290696494763,0.0002000033855438,0.0001695677204725,61.11208086099542,3834.092282568283,6812.5,1.344095156270893,5.231922256686453,0.0292609451405251,0.1983147911776058,0.3559983406084189,0.4094859552218429
M02||132||brawn,511,M02,132,brawn,1,3.2,0.2232493495888036,0.0002000033855438,0.0001731313285048,62.20829081484145,3600.40844109668,6187.5,1.4250341663847903,5.469011059101504,0.0244589889663018,0.2132493664900419,0.3887507262370144,0.3681864740632207
M02||135||bit,512,M02,135,bit,0,2.58,0.1790752490976404,0.0002000033855438,0.0001649976583889,60.7111556620016,3623.4800810826814,6281.25,1.5678638260226114,6.305791349835865,0.025679858970387,0.2384109378307657,0.3334256044043223,0.3946172642751886
M02||136||knitting,513,M02,136,knitting,1,1.58,0.2534343025109719,0.0002000033855438,0.0001692862670484,63.50487336346266,3612.0336348110286,6375.0,1.2151550433613196,4.4762700023423205,0.0255019973920593,0.2550932564073275,0.3249958713146476,0.386862796332819
M02||138||fill,514,M02,138,fill,0,2.595,0.2205000027336301,0.0002000033855438,0.0001729870997081,62.10789763615232,3943.4831357167504,6546.875,1.637576111731838,6.490899285317714,0.0243086849055505,0.1787031994045152,0.3363732531044172,0.4543461475039632
M02||140||pit,515,M02,140,pit,1,1.2200625,0.3426851863119931,0.0002000033855438,0.000177967893204,65.6910734354498,3889.0908645654818,7031.25,1.27306781768334,4.70502743230108,0.0272015389381675,0.2409148516527692,0.2721375794170133,0.4522148380916495
M02||141||pit,516,M02,141,pit,0,2.62,0.2425778379697273,0.0002000033855438,0.0001732833948596,62.92188346392255,4079.019048119477,7015.625,1.1178062930312185,4.146451563812519,0.031785414562042,0.182353221784645,0.318245961120469,0.4613375927129807
M02||142||pit,517,M02,142,pit,1,2.305,0.2630252009606409,0.0002000033855438,0.0001617035838713,64.2255543142922,3565.514652263722,6203.125,1.32644828354554,5.053682005917999,0.0416304969010292,0.2342888139070699,0.3404698199644927,0.3759475639103227
M02||143||november,518,M02,143,november,1,1.87,0.36156912727182,0.0002000033855438,0.0001731316588731,66.39629701405262,3961.897216670848,6750.0,1.0031419409051987,3.3344023005447845,0.0235975897713374,0.193884300260027,0.3289525744172982,0.4482005601380542
M02||144||eight,519,M02,144,eight,0,2.145,0.1305168937875317,0.0002000033855438,0.0001699782238512,57.70546884923493,3809.7295102656417,6578.125,1.5269373285908403,5.9594056073907264,0.0282015095673913,0.2206360109071806,0.3144160179505269,0.4283907474867653
M02||145||side,520,M02,145,side,0,2.45,0.2276183710303458,0.0002000033855438,0.0001711071353536,62.47878380963716,3610.594307169236,6750.0,1.2737809669254667,4.903590674161486,0.0374206158045314,0.2538498561602877,0.3402148664916973,0.3609573523686059
M02||146||barn,521,M02,146,barn,1,3.115,0.2297973848304475,0.0002000033855438,0.0001663331354947,62.80732615235513,3612.551516061505,6421.875,1.4442462585663391,5.792197886999595,0.0244707334172948,0.233075805482121,0.3700426104755424,0.3659509106379296
M02||147||him,522,M02,147,him,1,2.22,0.1761928386932284,0.0002000033855438,0.0001653972695577,60.5491983377543,3773.966792061061,6578.125,1.415632304327353,5.702314292353421,0.0302803840341594,0.2203060823898888,0.3240622416863815,0.4195201091932264
M02||148||start,523,M02,148,start,0,1.835,0.2263638702160308,0.0002000033855438,0.0001766086269104,62.155903931789005,4382.8795379970925,7578.125,1.1281074813389231,4.7023123617765785,0.0268375852841878,0.1554743542087363,0.3033843395080778,0.508727437643932
M02||149||foxtrot,524,M02,149,foxtrot,0,4.575,0.2248260708108848,0.0002000033855438,0.0001679017539073,62.53582875499272,3659.063566594916,6625.0,1.351260597569722,5.222441209526881,0.0305758099368209,0.2510647440971614,0.3236315526452883,0.3879058544959746
M02||150||kitten,525,M02,150,kitten,1,3.155,0.1228051856025335,0.0002000033855438,0.0001722424417462,57.0615306461588,3664.667763223415,6500.0,1.442470877582385,5.702829841321337,0.0313289927850493,0.2574522037852431,0.297839490605547,0.4073857651747509
M02||151||juliet,526,M02,151,juliet,0,3.89,0.2561976160465162,0.0002000033855438,0.0001695454460493,63.58577910070095,3855.637600167781,6859.375,1.2098207224374988,4.585335302909503,0.0298786370457122,0.2118117107334092,0.3179254390414286,0.4334589175597011
M02||152||hark,527,M02,152,hark,0,3.14,0.2029613811136,0.0002000033855438,0.000167909875827,61.64674338117253,4043.155251247598,6812.5,1.1782493079817984,4.4224345819774,0.0330183097807228,0.1743553152331731,0.3135810334454361,0.472759965761874
M02||153||bloat,528,M02,153,bloat,0,2.745,0.260349459331836,0.0002000033855438,0.0001719869135439,63.60122554687728,3358.121704946972,6062.5,1.3071555227096616,4.741501632276892,0.0293297412942333,0.2754317366275643,0.3610975417774807,0.3274566024392074
M02||154||relax,529,M02,154,relax,0,7.675,0.2013982050674067,0.0002000033855438,0.0001711508451779,61.4135309506633,3699.911394385364,6406.25,1.2755687313199109,4.705962914349566,0.0285492318252489,0.2275287827591366,0.3336336680389887,0.4036578358159239
M02||156||yes,530,M02,156,yes,1,3.935,0.1245985247686129,0.0002000033855438,0.0001716289483528,57.21844717964742,4073.099089951914,6843.75,1.5060680617830633,6.433523279591392,0.0254836622183377,0.1718490412219737,0.3050088254120932,0.4917372133185961
M02||157||leak,531,M02,157,leak,0,3.09,0.1639292266189442,0.0002000033855438,0.00016806135511,59.78377057925727,3696.4414177410094,6343.75,1.5674303102503435,6.456095784644321,0.0259588826762134,0.2129450976272615,0.3567590442389424,0.3976999060791018
